Model_Path,Model_Name,Target,Epoch,Accuracy,Test_Size
models_224_mobilenet/Deepfakes/epoch1.pth,mobilenet,Deepfakes,1,92.0833074550235,48303
models_224_mobilenet/Deepfakes/epoch2.pth,mobilenet,Deepfakes,2,97.2589694221891,48303
models_224_mobilenet/Deepfakes/epoch3.pth,mobilenet,Deepfakes,3,91.8804215059106,48303
models_224_mobilenet/Deepfakes/epoch4.pth,mobilenet,Deepfakes,4,95.55307123781131,48303
models_224_mobilenet/Deepfakes/epoch5.pth,mobilenet,Deepfakes,5,95.71869242076062,48303
models_224_mobilenet/Deepfakes/epoch6.pth,mobilenet,Deepfakes,6,95.20733701840466,48303
models_224_mobilenet/Deepfakes/epoch7.pth,mobilenet,Deepfakes,7,94.0210752955303,48303
models_224_mobilenet/Deepfakes/epoch8.pth,mobilenet,Deepfakes,8,95.06862927768462,48303
models_224_mobilenet/Deepfakes/epoch9.pth,mobilenet,Deepfakes,9,88.45827381322071,48303
models_224_mobilenet/Deepfakes/epoch10.pth,mobilenet,Deepfakes,10,93.5738981015672,48303
models_224_mobilenet/FaceShifter/epoch1.pth,mobilenet,FaceShifter,1,97.75545440276252,50968
models_224_mobilenet/FaceShifter/epoch2.pth,mobilenet,FaceShifter,2,95.7443886360069,50968
models_224_mobilenet/FaceShifter/epoch3.pth,mobilenet,FaceShifter,3,95.7267304975671,50968
models_224_mobilenet/FaceShifter/epoch4.pth,mobilenet,FaceShifter,4,96.44875215821692,50968
models_224_mobilenet/FaceShifter/epoch5.pth,mobilenet,FaceShifter,5,93.12509810076911,50968
models_224_mobilenet/FaceShifter/epoch6.pth,mobilenet,FaceShifter,6,95.58546539004865,50968
models_224_mobilenet/FaceShifter/epoch7.pth,mobilenet,FaceShifter,7,98.10076911002982,50968
models_224_mobilenet/FaceShifter/epoch8.pth,mobilenet,FaceShifter,8,96.4252079736305,50968
models_224_mobilenet/FaceShifter/epoch9.pth,mobilenet,FaceShifter,9,96.90786375765185,50968
models_224_mobilenet/FaceShifter/epoch10.pth,mobilenet,FaceShifter,10,97.0353947574949,50968
models_224_mobilenet/FaceSwap/epoch1.pth,mobilenet,FaceSwap,1,97.0640763165919,45914
models_224_mobilenet/FaceSwap/epoch2.pth,mobilenet,FaceSwap,2,97.49313934747572,45914
models_224_mobilenet/FaceSwap/epoch3.pth,mobilenet,FaceSwap,3,96.88983752232434,45914
models_224_mobilenet/FaceSwap/epoch4.pth,mobilenet,FaceSwap,4,96.6763949993466,45914
models_224_mobilenet/FaceSwap/epoch5.pth,mobilenet,FaceSwap,5,96.38018904909178,45914
models_224_mobilenet/FaceSwap/epoch6.pth,mobilenet,FaceSwap,6,97.26880689985626,45914
models_224_mobilenet/FaceSwap/epoch7.pth,mobilenet,FaceSwap,7,97.88517663457769,45914
models_224_mobilenet/FaceSwap/epoch8.pth,mobilenet,FaceSwap,8,97.58243672953783,45914
models_224_mobilenet/FaceSwap/epoch9.pth,mobilenet,FaceSwap,9,97.83943895108246,45914
models_224_mobilenet/FaceSwap/epoch10.pth,mobilenet,FaceSwap,10,98.0681273685586,45914
models_224_mobilenet/Face2Face/epoch1.pth,mobilenet,Face2Face,1,98.58437824454916,50084
models_224_mobilenet/Face2Face/epoch2.pth,mobilenet,Face2Face,2,98.68021723504512,50084
models_224_mobilenet/Face2Face/epoch3.pth,mobilenet,Face2Face,3,90.68165481990256,50084
models_224_mobilenet/Face2Face/epoch4.pth,mobilenet,Face2Face,4,98.22697867582461,50084
models_224_mobilenet/Face2Face/epoch5.pth,mobilenet,Face2Face,5,98.54444533184251,50084
models_224_mobilenet/Face2Face/epoch6.pth,mobilenet,Face2Face,6,97.01301812954237,50084
models_224_mobilenet/Face2Face/epoch7.pth,mobilenet,Face2Face,7,98.6842105263158,50084
models_224_mobilenet/Face2Face/epoch8.pth,mobilenet,Face2Face,8,99.03761680376967,50084
models_224_mobilenet/Face2Face/epoch9.pth,mobilenet,Face2Face,9,96.83930995926843,50084
models_224_mobilenet/Face2Face/epoch10.pth,mobilenet,Face2Face,10,98.69818704576312,50084
models_224_mobilenet/NeuralTextures/epoch1.pth,mobilenet,NeuralTextures,1,87.46620791349225,44759
models_224_mobilenet/NeuralTextures/epoch2.pth,mobilenet,NeuralTextures,2,90.77280546929109,44759
models_224_mobilenet/NeuralTextures/epoch3.pth,mobilenet,NeuralTextures,3,87.84155141982617,44759
models_224_mobilenet/NeuralTextures/epoch4.pth,mobilenet,NeuralTextures,4,89.21334256797516,44759
models_224_mobilenet/NeuralTextures/epoch5.pth,mobilenet,NeuralTextures,5,90.17851158426238,44759
models_224_mobilenet/NeuralTextures/epoch6.pth,mobilenet,NeuralTextures,6,90.33959650573069106,44759
models_224_mobilenet/NeuralTextures/epoch7.pth,mobilenet,NeuralTextures,7,66.09173574029803,44759
models_224_mobilenet/NeuralTextures/epoch8.pth,mobilenet,NeuralTextures,8,84.50144105096182,44759
models_224_mobilenet/NeuralTextures/epoch9.pth,mobilenet,NeuralTextures,9,74.67548426014879,44759
models_224_mobilenet/NeuralTextures/epoch10.pth,mobilenet,NeuralTextures,10,88.35988292857303,44759
