Model_name,Epoch,Target,Accuracy,Precision,Recall,F1_Score
mobilenet,1,Deepfakes,0.920833074550235,0.9882358707906476,0.8490629606232891,0.9133783355230372
mobilenet,2,Deepfakes,0.972589694221891,0.9639915566408676,0.9808801853021689,0.9723625433139899
mobilenet,3,Deepfakes,0.918804215059106,0.9929868191992042,0.8407664771530848,0.9105587229190422
mobilenet,4,Deepfakes,0.9583462724882512,0.9883600737045526,0.9261739313539693,0.9562570658318115
mobilenet,5,Deepfakes,0.9571869242076062,0.9878910645959937,0.924236681406612,0.9550043516100958
mobilenet,6,Deepfakes,0.9520733701840466,0.9684767401189227,0.9328700779111392,0.9503400047193085
mobilenet,7,Deepfakes,0.940210752955303,0.9969028446180969,0.8811118130132659,0.9354377179647679
mobilenet,8,Deepfakes,0.9506862927768461,0.923147011052569,0.9813855548536534,0.9513758471462399
mobilenet,9,Deepfakes,0.8845827381322071,0.9979173517483284,0.766814066119183,0.8672334547879308
mobilenet,10,Deepfakes,0.9357389810156719,0.9947744378925164,0.8738681827753211,0.9304098287149135
mobilenet,1,Face2Face,0.9858437824454915,0.9861105453952996,0.9850272601513549,0.985568605100857
mobilenet,2,Face2Face,0.9868021723504512,0.9870087558542049,0.9860851167710961,0.9865467201270022
mobilenet,3,Face2Face,0.9514815110614169,0.995170810230728,0.9055252664984946,0.9482339908823655
mobilenet,4,Face2Face,0.9822697867582462,0.9769286519568369,0.9871836601839044,0.9820293843849921
mobilenet,5,Face2Face,0.985444453318425,0.9964197993422422,0.973838392057938,0.9849996913516739
mobilenet,6,Face2Face,0.9701301812954237,0.9870442268737339,0.9516234030433721,0.969010233251854
mobilenet,7,Face2Face,0.9868421052631579,0.9919378059314714,0.9811620148099927,0.9865204851807154
mobilenet,8,Face2Face,0.9903761680376967,0.9939729397293973,0.9863699243225649,0.990156837118118
mobilenet,9,Face2Face,0.9683930995926843,0.9989584689493556,0.9365692896085931,0.9667583629071208
mobilenet,10,Face2Face,0.9869818704576312,0.9914954806902219,0.9818943770851981,0.9866715728361748
mobilenet,1,FaceShifter,0.9775545440276252,0.9878291398478642,0.9681896386924106,0.9779107935894961
mobilenet,2,FaceShifter,0.957443886360069,0.9960704831237591,0.9207034983750717,0.9569052870000596
mobilenet,3,FaceShifter,0.957267304975671,0.9873968370126438,0.9285796214872873,0.9570854350567465
mobilenet,4,FaceShifter,0.9644875215821692,0.992116434202547,0.938252724144523,0.9644330909805463
mobilenet,5,FaceShifter,0.9312509810076911,0.9977585373357359,0.867979353852036,0.92835527929991
mobilenet,6,FaceShifter,0.9558546539004866,0.9980830937200483,0.9157331294207608,0.9551363853884192
mobilenet,7,FaceShifter,0.9810076911002982,0.9909172416481503,0.9718982986044733,0.9813156269302038
mobilenet,8,FaceShifter,0.9642520797363051,0.9951568922713768,0.934888166698528,0.9640815360958878
mobilenet,9,FaceShifter,0.9690786375765186,0.9958442606415171,0.9436818963869241,0.9690616411464468
mobilenet,10,FaceShifter,0.970353947574949,0.9895510528406833,0.9522844580386159,0.9705601558694593
mobilenet,1,FaceSwap,0.9706407631659189,0.9901550838935055,0.9415169359303438,0.9652236726691089
mobilenet,2,FaceSwap,0.9749313934747571,0.9818762228400782,0.9597866022447028,0.9707057595887099
mobilenet,3,FaceSwap,0.9688983752232434,0.9588911561240233,0.9697015451205395,0.9642660527501126
mobilenet,4,FaceSwap,0.966763949993466,0.9850848891944782,0.9373899038703508,0.9606457602640809
mobilenet,5,FaceSwap,0.9638018904909178,0.9934413789365277,0.9224419950676934,0.9566261287123545
mobilenet,6,FaceSwap,0.9726880689985625,0.9821289821289821,0.9542503397252,0.967988972277531
mobilenet,7,FaceSwap,0.9788517663457769,0.9714599341383096,0.9799184659519855,0.9756708676805893
mobilenet,8,FaceSwap,0.9758243672953784,0.9598921304241236,0.9853037394936837,0.9724319491357043
mobilenet,9,FaceSwap,0.9783943895108246,0.970349329745353,0.9800191252705219,0.9751602564102564
mobilenet,10,FaceSwap,0.9806812736855861,0.9933977957995426,0.9617494589561628,0.9773174785833013
mobilenet,1,NeuralTextures,0.8746620791349226,0.944018452714918,0.7626794258373206,0.8437151771785157
mobilenet,2,NeuralTextures,0.9098728747291047,0.9179037455755719,0.8750944346512214,0.8959880363036303
mobilenet,3,NeuralTextures,0.8784155141982618,0.9591004650570173,0.7582472928733317,0.8469284428442845
mobilenet,4,NeuralTextures,0.8921334256797515,0.9322326410861186,0.816167212289096,0.8703474944948708
mobilenet,5,NeuralTextures,0.9017851158426238,0.9457869542649519,0.8259380508687988,0.8818088939076195
mobilenet,6,NeuralTextures,0.8859000424495632,0.9512851897184823,0.782875849911861,0.8589031634203619
mobilenet,7,NeuralTextures,0.9083759690788444,0.897226424609178,0.8960967010828507,0.8966612070051657
mobilenet,8,NeuralTextures,0.8450144105096182,0.9401062959934587,0.6948879375472173,0.7991080478410704
mobilenet,9,NeuralTextures,0.8862351705802185,0.9526583675722082,0.7824225635859985,0.8591892041369393
mobilenet,10,NeuralTextures,0.8835988292857302,0.9534336491423617,0.7754721732561067,0.8552938562381958
