Model_name,Epoch,Target,Accuracy,Precision,Recall,F1_Score,True_Positive,True_Negative,False_Positive,False_Negative
mobilenet,7,Face2Face,0.9868421052631579,0.9919378059314714,0.9811620148099927,0.9865204851807154,24115,25310,196,463
mobilenet,8,Face2Face,0.9903761680376967,0.9939729397293973,0.9863699243225649,0.990156837118118,24243,25359,147,335
mobilenet,9,Face2Face,0.9683930995926843,0.9989584689493556,0.9365692896085931,0.9667583629071208,23019,25482,24,1559
mobilenet,10,Face2Face,0.9869818704576312,0.9914954806902219,0.9818943770851981,0.9866715728361748,24133,25299,207,445
mobilenet,1,FaceShifter,0.9775545440276252,0.9878291398478642,0.9681896386924106,0.9779107935894961,25323,24501,312,832
mobilenet,2,FaceShifter,0.957443886360069,0.9960704831237591,0.9207034983750717,0.9569052870000596,24081,24718,95,2074
mobilenet,3,FaceShifter,0.957267304975671,0.9873968370126438,0.9285796214872873,0.9570854350567465,24287,24503,310,1868
mobilenet,4,FaceShifter,0.9644875215821692,0.992116434202547,0.938252724144523,0.9644330909805463,24540,24618,195,1615
mobilenet,5,FaceShifter,0.9312509810076911,0.9977585373357359,0.867979353852036,0.92835527929991,22702,24762,51,3453
mobilenet,6,FaceShifter,0.9558546539004866,0.9980830937200483,0.9157331294207608,0.9551363853884192,23951,24767,46,2204
mobilenet,7,FaceShifter,0.9810076911002982,0.9909172416481503,0.9718982986044733,0.9813156269302038,25420,24580,233,735
mobilenet,8,FaceShifter,0.9642520797363051,0.9951568922713768,0.934888166698528,0.9640815360958878,24452,24694,119,1703
mobilenet,9,FaceShifter,0.9690786375765186,0.9958442606415171,0.9436818963869241,0.9690616411464468,24682,24710,103,1473
mobilenet,10,FaceShifter,0.970353947574949,0.9895510528406833,0.9522844580386159,0.9705601558694593,24907,24550,263,1248
mobilenet,1,FaceSwap,0.9706407631659189,0.9901550838935055,0.9415169359303438,0.9652236726691089,18707,25859,186,1162
mobilenet,2,FaceSwap,0.9749313934747571,0.9818762228400782,0.9597866022447028,0.9707057595887099,19070,25693,352,799
mobilenet,3,FaceSwap,0.9688983752232434,0.9588911561240233,0.9697015451205395,0.9642660527501126,19267,25219,826,602
mobilenet,4,FaceSwap,0.966763949993466,0.9850848891944782,0.9373899038703508,0.9606457602640809,18625,25763,282,1244
mobilenet,5,FaceSwap,0.9638018904909178,0.9934413789365277,0.9224419950676934,0.9566261287123545,18328,25924,121,1541
mobilenet,6,FaceSwap,0.9726880689985625,0.9821289821289821,0.9542503397252,0.967988972277531,18960,25700,345,909
mobilenet,7,FaceSwap,0.9788517663457769,0.9714599341383096,0.9799184659519855,0.9756708676805893,19470,25473,572,399
mobilenet,8,FaceSwap,0.9758243672953784,0.9598921304241236,0.9853037394936837,0.9724319491357043,19577,25227,818,292
mobilenet,9,FaceSwap,0.9783943895108246,0.970349329745353,0.9800191252705219,0.9751602564102564,19472,25450,595,397
mobilenet,10,FaceSwap,0.9806812736855861,0.9933977957995426,0.9617494589561628,0.9773174785833013,19109,25918,127,760
mobilenet,1,NeuralTextures,0.8746620791349226,0.944018452714918,0.7626794258373206,0.8437151771785157,15143,24006,898,4712
mobilenet,2,NeuralTextures,0.9098728747291047,0.9179037455755719,0.8750944346512214,0.8959880363036303,17375,23350,1554,2480
mobilenet,3,NeuralTextures,0.8784155141982618,0.9591004650570173,0.7582472928733317,0.8469284428442845,15055,24262,642,4800
mobilenet,4,NeuralTextures,0.8921334256797515,0.9322326410861186,0.816167212289096,0.8703474944948708,16205,23726,1178,3650
mobilenet,5,NeuralTextures,0.9017851158426238,0.9457869542649519,0.8259380508687988,0.8818088939076195,16399,23964,940,3456
mobilenet,6,NeuralTextures,0.8859000424495632,0.9512851897184823,0.782875849911861,0.8589031634203619,15544,24108,796,4311
mobilenet,7,NeuralTextures,0.9083759690788444,0.897226424609178,0.8960967010828507,0.8966612070051657,17792,22866,2038,2063
mobilenet,8,NeuralTextures,0.8450144105096182,0.9401062959934587,0.6948879375472173,0.7991080478410704,13797,24025,879,6058
mobilenet,9,NeuralTextures,0.8862351705802185,0.9526583675722082,0.7824225635859985,0.8591892041369393,15535,24132,772,4320
mobilenet,10,NeuralTextures,0.8835988292857302,0.9534336491423617,0.7754721732561067,0.8552938562381958,15397,24152,752,4458
