Model_name,Epoch,Target,Accuracy,Precision,Recall,F1_Score,True_Positive,True_Negative,False_Positive,False_Negative
Resnext+LSTM,1,Deepfakes,0.855,0.94375,0.755,0.8388888888888889,151,191,9,49
Resnext+LSTM,5,Deepfakes,0.85,0.8645833333333334,0.83,0.8469387755102041,166,174,26,34
Resnext+LSTM,10,Deepfakes,0.9575,0.9740932642487047,0.94,0.9567430025445293,188,195,5,12
Resnext+LSTM,1,NeuralTextures,0.76,0.7921348314606742,0.705,0.746031746031746,141,163,37,59
Resnext+LSTM,5,NeuralTextures,0.795,0.797979797979798,0.79,0.7939698492462312,158,160,40,42
Resnext+LSTM,10,NeuralTextures,0.775,0.8481012658227848,0.67,0.7486033519553073,134,176,24,66
